geoid10,geoid_nm,jobs_auto,jobs_transit,supermarket,pharmacy,restaurant,park,school
53033005200,53033005200,959687,670192,0.21,0.3,0.14,0.11,0.26
53033005100,53033005100,924160,546350,0.32,0.37,0.17,0.14,0.35
53033005000,53033005000,885982,563462,0.19,0.24,0.12,0.15,0.22
53033004900,53033004900,858710,569871,0.6,0.19,0.14,0.14,0.34
53033004800,53033004800,793307,534519,0.52,0.42,0.23,0.11,0.47
53033004700,53033004700,630535,520321,0.13,0.19,0.13,0.17,0.48
53033022603,53033022603,455248,57859,0.52,0.63,0.37,0.17,0.44
53033022604,53033022604,467743,117016,0.31,0.36,0.26,0.13,0.28
53033024300,53033024300,775058,389528,0.39,0.43,0.37,0.12,1.02
53033024400,53033024400,617442,181407,0.43,0.76,0.72,0.18,0.48
53033024500,53033024500,532823,59712,0.8,1.18,1.2,0.22,0.51
53033028700,53033028700,477692,53566,1.22,0.51,0.51,0.22,0.32
53033028600,53033028600,461122,27920,0.61,0.37,0.37,0.14,1.01
53033028500,53033028500,460846,67426,0.47,0.41,0.46,0.14,0.33
53033028403,53033028403,481326,111847,0.53,0.81,0.33,0.4,0.29
53033028402,53033028402,488860,128497,0.48,0.35,0.38,0.38,0.34
53033028300,53033028300,478547,89553,0.69,0.7,0.61,0.24,0.49
53033004600,53033004600,888963,471758,0.48,0.53,0.2,0.1,0.38
53033004500,53033004500,926840,533847,0.4,0.39,0.23,0.15,0.24
53033004400,53033004400,918757,611714,0.26,0.19,0.14,0.15,0.53
53033004200,53033004200,847468,440994,0.9,0.38,0.24,0.15,0.36
53033004100,53033004100,787768,279405,0.39,0.69,0.34,0.16,0.44
53033004000,53033004000,806442,304386,0.71,1.01,0.4,0.11,0.48
53033003900,53033003900,831113,347586,0.36,0.4,0.67,0.16,0.31
53033003800,53033003800,844776,453169,0.33,0.4,0.29,0.3,0.28
53033025701,53033025701,403353,42957,0.71,1.07,0.89,0.19,0.57
53033022802,53033022802,443232,211490,0.78,0.77,0.48,0.17,0.49
53033032309,53033032309,412642,254545,0.31,0.27,0.21,0.12,0.36
53033032325,53033032325,371919,67530,0.75,0.73,0.72,0.09,0.56
53033028200,53033028200,539053,178756,0.5,0.35,0.33,0.33,0.33
53033028100,53033028100,520301,164627,0.46,0.28,0.25,0.43,0.55
53033028000,53033028000,490635,153685,0.39,0.33,0.32,0.15,0.58
53033027900,53033027900,460745,124340,0.32,0.57,0.32,0.29,0.3
53033027800,53033027800,408883,7904,0.8,1.33,0.81,0.33,0.9
53033027702,53033027702,2370,0,2.83,2.81,1.3,0.33,3.45
53033005900,53033005900,734660,488410,0.72,0.37,0.41,0.18,0.46
53033005802,53033005802,644694,467007,0.67,0.4,0.57,0.07,0.34
53033003600,53033003600,885175,567416,0.18,0.31,0.11,0.11,0.27
53033003500,53033003500,742301,524072,0.88,0.51,0.16,0.18,0.49
53033003400,53033003400,679575,503803,0.78,0.51,0.14,0.28,0.32
53033003300,53033003300,604288,479512,0.46,0.2,0.18,0.13,0.21
53033003200,53033003200,548393,420661,0.57,0.4,0.17,0.15,0.27
53033003100,53033003100,479186,407945,0.77,0.6,0.48,0.21,0.29
53033025400,53033025400,423561,31942,0.48,0.42,0.37,0.19,0.33
53033025500,53033025500,377172,34501,0.34,0.32,0.26,0.22,0.39
53033025702,53033025702,322602,10673,0.75,0.96,0.89,0.33,0.48
53033032316,53033032316,233026,14477,1.6,1.57,1.53,0.23,0.66
53033032318,53033032318,145498,13093,0.72,0.72,0.82,0.71,0.31
53033031202,53033031202,84020,0,3.72,4.26,2.45,0.73,1.95
53033031204,53033031204,179723,0,3,3.11,2.25,1.05,1.21
53033031302,53033031302,34475,2096,0.52,0.43,0.63,0.37,0.3
53033032601,53033032601,61724,0,2.63,0.97,0.89,0.77,1.1
53033027600,53033027600,424406,24167,0.56,0.89,0.39,0.06,0.73
53033029305,53033029305,398158,36946,0.63,0.52,0.59,0.25,0.34
53033029304,53033029304,330623,2903,0.68,0.86,0.72,0.22,0.44
53033029303,53033029303,382296,40300,0.44,0.49,0.48,0.53,0.73
53033029204,53033029204,407314,61577,0.62,0.58,0.6,0.23,0.58
53033003000,53033003000,545436,441582,0.4,0.35,0.19,0.18,0.29
53033002900,53033002900,595187,448419,0.46,0.27,0.16,0.24,0.26
53033002800,53033002800,659590,530142,0.58,0.27,0.19,0.29,0.37
53033002700,53033002700,814593,502881,0.59,0.47,0.22,0.18,0.43
53033002600,53033002600,861977,515055,0.44,0.45,0.19,0.19,0.35
53033002500,53033002500,870964,456952,0.58,0.58,0.24,0.12,0.38
53033002400,53033002400,812005,272036,0.33,0.32,0.59,0.2,0.19
53033002200,53033002200,668740,175427,0.51,0.67,0.65,0.11,0.53
53033002100,53033002100,717290,411011,0.44,0.56,0.23,0.23,0.34
53033002000,53033002000,829817,494455,0.62,0.75,0.23,0.17,0.33
53033031400,53033031400,32539,4314,0.38,0.45,0.32,0.17,0.53
53033032007,53033032007,150506,1429,1.09,1.17,0.69,0.29,0.76
53033025101,53033025101,406246,29570,0.6,0.38,0.31,0.2,0.43
53033025200,53033025200,419773,26569,0.82,0.8,0.45,0.15,0.28
53033022003,53033022003,387480,52667,0.45,0.47,0.53,0.14,0.35
53033022201,53033022201,214158,15578,0.55,0.54,0.54,0.23,0.3
53033029203,53033029203,423645,127606,0.3,0.38,0.24,0.1,0.4
53033029004,53033029004,390334,62852,0.3,0.56,0.31,0.21,0.63
53033029003,53033029003,386130,55584,0.36,0.69,0.4,0.11,0.24
53033029001,53033029001,371188,29874,0.7,1.21,0.74,0.18,0.53
53033027500,53033027500,460725,75087,0.3,0.33,0.37,0.17,0.38
53033027400,53033027400,483883,112521,0.56,0.47,0.47,0.21,0.45
