,geography_value,jobs_1_mile_walk,jobs_3_mile_bike,geography_group
193,53033023801.0,30562.061120543294,94886.50367855122,Census2010Tract
194,53033023803.0,53763.93532594692,109822.02138624065,Census2010Tract
195,53033023804.0,52095.34466888264,101449.24980823319,Census2010Tract
196,53033023900.0,11714.817541387813,73713.02923564636,Census2010Tract
197,53033024000.0,20194.44655718813,94962.17660616538,Census2010Tract
198,53033024100.0,689.1368970013037,62945.736636245114,Census2010Tract
199,53033024200.0,284.0856643356643,53278.170454545456,Census2010Tract
200,53033024300.0,2824.6024319323287,5855.743325403119,Census2010Tract
201,53033024400.0,1404.4996600951733,12243.093133922503,Census2010Tract
202,53033024500.0,716.1229357798165,8410.88868501529,Census2010Tract
203,53033024601.0,379.41819330385346,3111.7965887555274,Census2010Tract
204,53033024602.0,478.081715210356,1282.1885113268609,Census2010Tract
205,53033024701.0,1621.5341614906831,18878.66045548654,Census2010Tract
206,53033024702.0,535.3037062457104,6275.863417982155,Census2010Tract
207,53033024800.0,6157.613848768055,35239.00297366185,Census2010Tract
208,53033024901.0,1261.9972206781545,29990.19566425792,Census2010Tract
209,53033024902.0,432.23372781065086,27700.056952662722,Census2010Tract
210,53033024903.0,90.91666666666667,11484.252525252525,Census2010Tract
211,53033025001.0,831.2842415316642,7954.74177712322,Census2010Tract
212,53033025003.0,157.137339055794,5023.383534920015,Census2010Tract
213,53033025005.0,681.4886703719538,6883.510474561778,Census2010Tract
214,53033025006.0,434.32928311057105,11940.547590117456,Census2010Tract
215,53033025101.0,822.9168215613383,11849.953996282527,Census2010Tract
216,53033025102.0,1020.2733837689134,10073.576341127922,Census2010Tract
217,53033025200.0,847.3500615763547,22532.00030788177,Census2010Tract
218,53033025301.0,7184.732554657083,37927.576220425275,Census2010Tract
219,53033025302.0,13305.237896203413,66387.14002089865,Census2010Tract
220,53033025400.0,2551.0597774244834,37302.34022257552,Census2010Tract
221,53033025500.0,2372.655082987552,27371.08661825726,Census2010Tract
222,53033025601.0,1231.3710450623203,23148.712368168744,Census2010Tract
223,53033025602.0,475.5474520804114,8080.674614305751,Census2010Tract
224,53033025701.0,1570.2463284379173,47725.03137516689,Census2010Tract
225,53033025702.0,232.70216049382717,12435.226851851852,Census2010Tract
226,53033025803.0,669.7076086956522,21095.64293478261,Census2010Tract
227,53033025804.0,635.9511249030256,16832.050426687354,Census2010Tract
228,53033025805.0,1252.0698546647914,45823.02062822316,Census2010Tract
229,53033025806.0,2452.9714593430263,65688.40495422726,Census2010Tract
230,53033026001.0,2440.413504189256,36489.489403647116,Census2010Tract
231,53033026002.0,5492.852253473399,59185.22738054897,Census2010Tract
232,53033026100.0,6242.950664136622,50850.68842504744,Census2010Tract
233,53033026200.0,4168.974381625441,70455.85070671378,Census2010Tract
234,53033026300.0,3318.4102564102564,46767.29006410256,Census2010Tract
235,53033026400.0,1626.6593212869104,34642.26487439401,Census2010Tract
236,53033026500.0,1529.8199581297977,25745.338450802512,Census2010Tract
237,53033026600.0,2823.715277777778,14978.815972222223,Census2010Tract
238,53033026700.0,826.3486810551559,10198.482973621103,Census2010Tract
239,53033026801.0,1258.6665067178503,19690.158349328216,Census2010Tract
240,53033026802.0,918.7939424031778,16485.76961271102,Census2010Tract
241,53033027000.0,492.085141903172,27088.837228714525,Census2010Tract
242,53033027100.0,972.0579382994733,36974.565838976676,Census2010Tract
243,53033027200.0,11297.466517857143,56418.63169642857,Census2010Tract
244,53033027300.0,8674.450175262895,48391.43915873811,Census2010Tract
245,53033027400.0,851.0557308096741,27392.709253417455,Census2010Tract
246,53033027500.0,1788.0409538621047,12540.806117159149,Census2010Tract
247,53033027600.0,1242.605633802817,9352.039003250271,Census2010Tract
248,53033027701.0,262.94021960146404,991.826758845059,Census2010Tract
249,53033027702.0,13.014052583862194,196.93109700815955,Census2010Tract
250,53033027800.0,235.31560773480663,6863.9261049723755,Census2010Tract
251,53033027900.0,3451.319116757411,11482.372655777375,Census2010Tract
252,53033028000.0,2984.3511053315997,25008.251625487646,Census2010Tract
253,53033028100.0,11653.776047904192,63374.97245508982,Census2010Tract
254,53033028200.0,11528.068929503916,71521.1958224543,Census2010Tract
255,53033028300.0,1005.3358050847457,59087.217161016946,Census2010Tract
256,53033028402.0,5445.128540305011,63000.644880174295,Census2010Tract
257,53033028403.0,4738.30484442694,57655.80307207562,Census2010Tract
258,53033028500.0,2718.7401162790698,25922.8488372093,Census2010Tract
259,53033028600.0,1062.8033157498116,16488.09382064808,Census2010Tract
260,53033028700.0,1118.8651211801896,26323.101685985246,Census2010Tract
261,53033028801.0,4031.824273072061,29107.97597977244,Census2010Tract
262,53033028802.0,8289.556384379113,39736.08644142168,Census2010Tract
263,53033028901.0,1987.5944730077122,17560.903598971723,Census2010Tract
264,53033028902.0,2107.1161862527715,25532.225277161862,Census2010Tract
265,53033029001.0,705.9542886492039,8381.109399075502,Census2010Tract
266,53033029003.0,1621.2892639474917,12309.221753398968,Census2010Tract
267,53033029004.0,1554.6711409395973,9854.89783743475,Census2010Tract
268,53033029101.0,233.4961884961885,34558.73458073458,Census2010Tract
269,53033029102.0,233.59232296492388,16649.419589675712,Census2010Tract
270,53033029203.0,8473.181631254283,48017.80877313228,Census2010Tract
271,53033029204.0,2443.567087608524,42051.909234412,Census2010Tract
272,53033029205.0,3138.3801540552786,41456.54100589035,Census2010Tract
273,53033029206.0,6027.6918635170605,45377.37480314961,Census2010Tract
274,53033029303.0,3579.8267933782954,50804.74279583078,Census2010Tract
275,53033029304.0,498.17521834061137,7811.683406113537,Census2010Tract
276,53033029305.0,453.4757554462403,44137.767392832044,Census2010Tract
277,53033029306.0,338.85308385308383,15583.753291753292,Census2010Tract
278,53033029307.0,319.84627209838584,3348.6863950807074,Census2010Tract
279,53033029403.0,177.99752107089736,21912.128904313337,Census2010Tract
280,53033029405.0,361.12139037433155,9142.37540106952,Census2010Tract
281,53033029406.0,221.22900302114803,11496.752870090635,Census2010Tract
282,53033029407.0,899.4086419753087,25149.635185185187,Census2010Tract
283,53033029408.0,771.6526984126984,21254.121904761905,Census2010Tract
284,53033029502.0,1879.9981515711645,15542.537892791128,Census2010Tract
285,53033029503.0,2444.13772845953,30099.259464751958,Census2010Tract
286,53033029504.0,2265.265134776845,26114.020326999558,Census2010Tract
287,53033029601.0,908.2293744333635,18099.444242973706,Census2010Tract
288,53033029602.0,407.82163742690057,9619.038986354775,Census2010Tract
289,53033029700.0,4725.64165875277,36557.91642924976,Census2010Tract
290,53033029801.0,1053.7883545960092,19453.524043179586,Census2010Tract
291,53033029802.0,299.6661237785016,7730.020521172639,Census2010Tract
292,53033029901.0,281.6757475083057,12202.517607973421,Census2010Tract
293,53033029902.0,387.01758366420876,16895.743618831537,Census2010Tract
294,53033030003.0,598.9145088368269,8283.202630497328,Census2010Tract
295,53033030004.0,426.5935828877005,9333.14218307644,Census2010Tract
296,53033030005.0,556.8654781199351,13071.10264721772,Census2010Tract
297,53033030006.0,3856.5479623824453,23135.48526645768,Census2010Tract
298,53033030100.0,256.319723183391,9550.470934256055,Census2010Tract
299,53033030201.0,639.7549540840986,18692.387143547607,Census2010Tract
300,53033030202.0,3120.6450537236014,22813.569099666543,Census2010Tract
301,53033030304.0,1681.095238095238,18447.757369614512,Census2010Tract
302,53033030305.0,233.94641987335606,4188.709693132002,Census2010Tract
303,53033030306.0,200.23171987641607,3982.403192584964,Census2010Tract
304,53033030308.0,1130.2660098522167,19061.48499776086,Census2010Tract
305,53033030309.0,2521.386744966443,25442.59731543624,Census2010Tract
306,53033030310.0,1105.861757719715,19485.639904988122,Census2010Tract
307,53033030311.0,1181.5853211009173,9262.066666666668,Census2010Tract
308,53033030312.0,1006.6449738524113,9993.958163858222,Census2010Tract
309,53033030313.0,6497.608302288451,25193.337945715808,Census2010Tract
310,53033030314.0,4120.316598824062,26490.536408864766,Census2010Tract
311,53033030401.0,444.037239165329,17344.56918138042,Census2010Tract
312,53033030403.0,378.7378587196468,12841.333885209713,Census2010Tract
313,53033030404.0,224.50764525993884,11046.650152905198,Census2010Tract
314,53033030501.0,8841.059921414539,39267.69253438114,Census2010Tract
315,53033030503.0,4736.204797867615,31025.41714793425,Census2010Tract
316,53033030504.0,4176.246202200105,34669.002619172345,Census2010Tract
317,53033030600.0,6150.417966903074,37242.96973995272,Census2010Tract
318,53033030700.0,4258.422222222222,32429.371241830064,Census2010Tract
319,53033030801.0,2327.6058425063507,26060.011430990686,Census2010Tract
320,53033030802.0,1561.7278020378458,24182.316593886462,Census2010Tract
321,53033030901.0,2541.9896640826873,27990.714039621016,Census2010Tract
322,53033030902.0,2336.713438735178,25761.515316205532,Census2010Tract
323,53033031000.0,185.90746268656716,9310.03223880597,Census2010Tract
324,53033031100.0,1158.601595138625,14439.541207747816,Census2010Tract
325,53033031202.0,127.70948155067725,1323.7561886968706,Census2010Tract
326,53033031204.0,33.969835466179156,787.7006398537477,Census2010Tract
327,53033031205.0,681.4519940915804,9590.875553914328,Census2010Tract
328,53033031206.0,1048.07509454349,10335.490545650999,Census2010Tract
329,53033031301.0,306.9374337221633,3387.0911983032875,Census2010Tract
330,53033031302.0,1206.6699252443934,6163.774008050604,Census2010Tract
331,53033031400.0,2912.9678207739307,5819.227291242362,Census2010Tract
332,53033031501.0,16.64660056657224,141.1012747875354,Census2010Tract
333,53033031502.0,692.0627565982405,3377.275073313783,Census2010Tract
334,53033031601.0,70.16941928609484,1488.3670751198722,Census2010Tract
335,53033031603.0,313.03185664509704,1337.9517172722747,Census2010Tract
336,53033031604.0,298.1370734528629,2451.4545980335456,Census2010Tract
337,53033031605.0,59.84615384615385,921.4876773711725,Census2010Tract
338,53033031703.0,693.8067820558107,12340.208053691274,Census2010Tract
339,53033031704.0,505.17094913476666,8870.596748820137,Census2010Tract
340,53033031705.0,499.8621460506706,6658.339791356185,Census2010Tract
341,53033031706.0,1709.1055535123207,6915.118425891872,Census2010Tract
342,53033031800.0,139.3122460824144,5171.543238537434,Census2010Tract
343,53033031903.0,236.53501180173092,2124.743115656963,Census2010Tract
344,53033031904.0,190.7329974811083,642.5919395465995,Census2010Tract
345,53033031906.0,65.94856722997795,846.4562821454813,Census2010Tract
346,53033031907.0,93.33589462129528,2222.6761800219538,Census2010Tract
347,53033031908.0,791.6295264623956,3038.074651810585,Census2010Tract
348,53033031909.0,580.9758919961428,3293.6972034715527,Census2010Tract
349,53033032002.0,50.54963898916967,758.1092057761733,Census2010Tract
350,53033032003.0,103.40997229916897,1219.4626038781164,Census2010Tract
351,53033032005.0,315.85464098073555,5231.867775831874,Census2010Tract
352,53033032006.0,291.0635268346112,3661.633077765608,Census2010Tract
353,53033032007.0,409.4980574980575,3520.5905205905206,Census2010Tract
354,53033032008.0,122.61599471249174,4246.504957038996,Census2010Tract
355,53033032010.0,783.362441314554,4177.943661971831,Census2010Tract
356,53033032011.0,576.15770609319,3891.531899641577,Census2010Tract
357,53033032102.0,63.033860045146724,1076.5287810383747,Census2010Tract
358,53033032103.0,5991.693675072344,24464.82141380736,Census2010Tract
359,53033032104.0,2054.4821573398217,17657.474452554743,Census2010Tract
360,53033032203.0,124.4655110148068,1465.3253882267966,Census2010Tract
361,53033032207.0,189.10428015564202,3216.105058365759,Census2010Tract
362,53033032208.0,1684.366269165247,15912.006570941836,Census2010Tract
363,53033032210.0,771.1730529317413,13861.877027267867,Census2010Tract
364,53033032211.0,454.2657685241886,5283.159216166565,Census2010Tract
