,geography,value,geography_group
274,53033029303.0,382296.14377682406,Census2010Tract
275,53033029304.0,330622.6866812227,Census2010Tract
276,53033029305.0,398157.60927617707,Census2010Tract
277,53033029306.0,371142.31947331945,Census2010Tract
278,53033029307.0,329435.4558032283,Census2010Tract
279,53033029403.0,381324.8522558255,Census2010Tract
280,53033029405.0,343384.41764705884,Census2010Tract
281,53033029406.0,324669.71480362536,Census2010Tract
282,53033029407.0,368775.2543209877,Census2010Tract
283,53033029408.0,361594.7168253968,Census2010Tract
284,53033029502.0,318295.4944547135,Census2010Tract
285,53033029503.0,376881.83812010445,Census2010Tract
286,53033029504.0,363314.96111356607,Census2010Tract
287,53033029601.0,303318.4904805077,Census2010Tract
288,53033029602.0,247116.20711500975,Census2010Tract
289,53033029700.0,399889.2465970244,Census2010Tract
290,53033029801.0,443427.0981354269,Census2010Tract
291,53033029802.0,350125.6690553746,Census2010Tract
292,53033029901.0,304583.46644518274,Census2010Tract
293,53033029902.0,302907.5706182643,Census2010Tract
294,53033030003.0,353133.4130702836,Census2010Tract
295,53033030004.0,327435.66844919784,Census2010Tract
296,53033030005.0,301415.0902215019,Census2010Tract
297,53033030006.0,332918.18746081507,Census2010Tract
298,53033030100.0,253931.29342560555,Census2010Tract
299,53033030201.0,275039.9125181247,Census2010Tract
300,53033030202.0,323357.06372730643,Census2010Tract
301,53033030304.0,318602.5941043084,Census2010Tract
302,53033030305.0,222032.24500730637,Census2010Tract
303,53033030306.0,234969.938722966,Census2010Tract
304,53033030308.0,286331.1003134796,Census2010Tract
305,53033030309.0,293738.1287751678,Census2010Tract
306,53033030310.0,303809.7458432304,Census2010Tract
307,53033030311.0,269167.9853211009,Census2010Tract
308,53033030312.0,280479.5148169669,Census2010Tract
309,53033030313.0,351905.5737094199,Census2010Tract
310,53033030314.0,325665.3052917232,Census2010Tract
311,53033030401.0,335224.0975922953,Census2010Tract
312,53033030403.0,320570.94370860927,Census2010Tract
313,53033030404.0,316711.6544342508,Census2010Tract
314,53033030501.0,293195.25049115915,Census2010Tract
315,53033030503.0,345868.04087072413,Census2010Tract
316,53033030504.0,276020.58250392874,Census2010Tract
317,53033030600.0,271362.0510638298,Census2010Tract
318,53033030700.0,258478.03986928106,Census2010Tract
319,53033030801.0,233007.33573243013,Census2010Tract
320,53033030802.0,235913.04949053857,Census2010Tract
321,53033030901.0,278718.1033591731,Census2010Tract
322,53033030902.0,242514.91205533597,Census2010Tract
323,53033031000.0,216514.20776119403,Census2010Tract
324,53033031100.0,228258.79263197872,Census2010Tract
325,53033031202.0,84019.59364782812,Census2010Tract
326,53033031204.0,179722.74817184644,Census2010Tract
327,53033031205.0,245916.08271787298,Census2010Tract
328,53033031206.0,238903.36466774717,Census2010Tract
329,53033031301.0,47152.608695652176,Census2010Tract
330,53033031302.0,34474.515238642896,Census2010Tract
331,53033031400.0,32538.575967413442,Census2010Tract
332,53033031501.0,22634.42776203966,Census2010Tract
333,53033031502.0,24380.154838709677,Census2010Tract
334,53033031601.0,117825.91635588705,Census2010Tract
335,53033031603.0,54860.21901443504,Census2010Tract
336,53033031604.0,62032.425101214576,Census2010Tract
337,53033031605.0,92113.67811799851,Census2010Tract
338,53033031703.0,239202.1476510067,Census2010Tract
339,53033031704.0,207268.72679601467,Census2010Tract
340,53033031705.0,188066.9307004471,Census2010Tract
341,53033031706.0,194581.23170283192,Census2010Tract
342,53033031800.0,258208.88392338943,Census2010Tract
343,53033031903.0,224660.70102281668,Census2010Tract
344,53033031904.0,103974.69269521411,Census2010Tract
345,53033031906.0,167640.82659808965,Census2010Tract
346,53033031907.0,258138.47969264546,Census2010Tract
347,53033031908.0,272534.4373259053,Census2010Tract
348,53033031909.0,290155.86595949857,Census2010Tract
349,53033032002.0,112290.09747292419,Census2010Tract
350,53033032003.0,77263.29916897506,Census2010Tract
351,53033032005.0,156787.9680385289,Census2010Tract
352,53033032006.0,119234.74424972618,Census2010Tract
353,53033032007.0,150505.9627039627,Census2010Tract
354,53033032008.0,94148.16325181758,Census2010Tract
355,53033032010.0,101772.26760563381,Census2010Tract
356,53033032011.0,75134.14050179212,Census2010Tract
357,53033032102.0,67858.46275395034,Census2010Tract
358,53033032103.0,268079.3517982637,Census2010Tract
359,53033032104.0,196600.69545823196,Census2010Tract
360,53033032203.0,129704.55074033947,Census2010Tract
361,53033032207.0,105389.4046692607,Census2010Tract
362,53033032208.0,162849.43076174252,Census2010Tract
363,53033032210.0,160475.00481197648,Census2010Tract
364,53033032211.0,89666.17881200244,Census2010Tract
365,53033032212.0,84053.57651991614,Census2010Tract
366,53033032213.0,66284.23997326203,Census2010Tract
367,53033032214.0,101939.76326530612,Census2010Tract
368,53033032215.0,87108.61260137243,Census2010Tract
369,53033032307.0,188827.2112740605,Census2010Tract
370,53033032309.0,412642.34588400373,Census2010Tract
371,53033032311.0,140978.29402985075,Census2010Tract
