hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidprk,pdiary,pproxy,psexpfac
3212,3,7,11,1,0,-1,-1,-1,-1,1,158074,2005,15.39,4.55,-1,-1,-1,0,-1,1,1,418.39
3212,4,8,3,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,418.39
3265,1,2,68,1,2,1145037,2310,56.08,19.78,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,136.68
3265,2,3,67,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,136.68
3271,1,1,28,1,1,175248,1615,87.44,34.45,0,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,392.57
3271,2,4,30,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,392.57
3271,3,8,1,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,392.57
3300,1,1,48,1,1,89589,1048,36.77,15.04,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,467.7
3300,2,1,42,2,1,109600,1779,95.53,44.11,0,-1,-1,-1,-1,3,2,1,0,-1,1,0,467.7
3300,3,6,16,2,2,740772,3143,14.48,4.16,1,741709,3179,11.45,2.64,-1,-1,-1,0,-1,1,2,467.7
3335,1,4,53,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,172.35
3335,2,1,58,1,1,41485,1504,80.44,24.2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,172.35
3354,1,1,45,2,1,41030,455,22.8,4.19,0,-1,-1,-1,-1,0,-1,-1,1,-1,0,0,98.36
3364,1,3,72,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,291.08
3364,2,1,43,1,1,290630,2059,57.78,25.8,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,291.08
3367,1,3,88,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,170.63
3370,1,3,78,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,204.03
3370,2,3,78,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,204.03
