"","home_county","dest_jurisdiction","mode_char1","count","prop","prop_se","est","est_se"
"326","Pierce","Bonney Lake","Transit",2,0.00860571543309561,0.00659167726231009,371.701252756999,263.552208000472
"327","Pierce","Bonney Lake","Walk",11,0.0390675445487743,0.0164078899603528,1687.41987389835,508.692893319542
"328","Pierce","Buckley","HOV",6,0.532238258855917,0.279883231596686,10391.4103612923,9384.5663373905
"329","Pierce","Buckley","SOV",12,0.467761741144083,0.279883231596686,9132.57196878169,6113.85002772764
"330","Pierce","Burien","SOV",4,1,6.85847801289958e-17,516.654732986142,319.166964461318
"331","Pierce","Covington","HOV",3,1,0,60.2707728857118,34.7962070062348
"332","Pierce","Des Moines","SOV",2,1,0,3193.73565634454,3130.69640011812
"333","Pierce","DuPont","HOV",1,0.0566291405454377,0.0595145194857965,262.172457053236,262.17245705307
"334","Pierce","DuPont","SOV",7,0.911249952061623,0.0675636955976349,4218.75798609284,2142.8658014556
"335","Pierce","DuPont","Walk",4,0.0321209073929392,0.021587471249453,148.708193924104,74.3504432279291
"336","Pierce","Eatonville","HOV",4,0.455250526264555,0.182235375586876,5365.63187585878,2702.96653007958
"337","Pierce","Eatonville","SOV",4,0.544749473735445,0.182235375586876,6420.47613786531,3434.4228359107
"338","Pierce","Edgewood","SOV",11,1,0,14420.4861971471,5283.79708280252
"339","Pierce","Enumclaw","HOV",1,1,0,138.758669144345,138.758669144297
"340","Pierce","Everett","HOV",8,0.528829063795981,0.26547678605985,1375.33913123035,505.549769441228
"341","Pierce","Everett","SOV",1,0.471170936204019,0.26547678605985,1225.38617943629,1225.38617943585
"342","Pierce","Federal Way","HOV",23,0.396943979179699,0.117029142660045,21046.3222967163,7092.23317901819
"343","Pierce","Federal Way","SOV",30,0.603056020820301,0.117029142660045,31974.5657898327,11322.1838234454
"344","Pierce","Fife","HOV",29,0.810257685459368,0.0881920825249937,29561.968327745,10896.1436084533
"345","Pierce","Fife","SOV",10,0.189523715343149,0.0881639458459952,6914.70648273377,3042.39321904346
"346","Pierce","Fife","Transit",1,0.000218599197482203,0.000228826874571583,7.97551528163003,7.97551528163204
"347","Pierce","Fircrest","Bike/Micromobility",2,0.138312681599831,0.0907589932262126,2147.47481203108,1518.46912967084
"348","Pierce","Fircrest","HOV",2,0.132636628404764,0.087606237972382,2059.34709209126,1456.15444199398
"349","Pierce","Fircrest","SOV",14,0.590738008395574,0.128862903983695,9171.93549329932,3141.64863101737
"350","Pierce","Fircrest","Walk",2,0.138312681599831,0.0907589932262126,2147.47481203108,1518.46912967084
"351","Pierce","Gig Harbor","HOV",24,0.382378982684858,0.0829533670043876,21444.3381356465,5419.90081710834
"352","Pierce","Gig Harbor","SOV",51,0.583624671565464,0.0853423981876664,32730.472562793,8255.51625776204
"353","Pierce","Gig Harbor","Transit",2,0.0339963457496775,0.0311711028064558,1906.5617270949,1775.90000532817
"354","Pierce","Issaquah","SOV",2,1,0,435.756588072994,324.789528201009
"355","Pierce","Kent","HOV",5,0.0623094950875822,0.0368163989842115,898.405292861083,431.974774121375
"356","Pierce","Kent","SOV",18,0.937690504912418,0.0368163989842115,13520.0279105903,5505.19007455526
"357","Pierce","Lakewood","Bike/Micromobility",8,0.0019152019871512,0.000730330825574398,999.404216133723,369.550872470592
"358","Pierce","Lakewood","HOV",99,0.679002388967668,0.041773759806909,354321.818195557,43431.2775163673
"359","Pierce","Lakewood","SOV",106,0.181555134955199,0.0346721050007308,94740.3817207029,19605.5126832204
"360","Pierce","Lakewood","Transit",25,0.0920352228120594,0.0258302969847244,48026.4694420021,14023.3593301505
"361","Pierce","Lakewood","Walk",33,0.0454920512779217,0.010388904779248,23738.9832261787,5159.87277642579
"362","Pierce","Lynnwood","SOV",1,1,0,286.855536233775,286.855536233886
"363","Pierce","Maple Valley","SOV",1,1,0,168.897710039715,168.89771003965
"364","Pierce","Milton","HOV",4,0.304561117881907,0.152198121362505,437.160664536635,262.731952871619
"365","Pierce","Milton","SOV",7,0.695438882118093,0.152198121362505,998.218439588351,393.121785985949
"366","Pierce","North Bend","SOV",1,1,0,1591.41518105525,1591.4151810543
"367","Pierce","Orting","HOV",3,0.680105396962133,0.261621331905893,10498.9789114847,7011.34971764068
"368","Pierce","Orting","SOV",1,0.319894603037867,0.261621331905893,4938.30324857626,4938.30324858002
"369","Pierce","Pacific","SOV",1,1,0,277.51733828869,277.517338288594
"370","Pierce","Port Orchard","HOV",4,0.374505149591057,0.179670715857489,458.711316345226,252.734411175102
"371","Pierce","Port Orchard","SOV",5,0.625494850408943,0.179670715857489,766.135169333591,408.7608381583
"372","Pierce","Puyallup","Bike/Micromobility",4,0.00324433449063737,0.00168993744445508,567.21647880328,283.59430299315
"373","Pierce","Puyallup","HOV",54,0.218124861397914,0.0549628980073197,38135.4068696141,10225.9698566508
"374","Pierce","Puyallup","SOV",127,0.55394611755755,0.0755977557813249,96848.018339198,19359.5270979243
"375","Pierce","Puyallup","Transit",3,0.0429798848336878,0.0405998293128523,7514.29885083936,7328.27862984349
"376","Pierce","Puyallup","Walk",15,0.181704801720211,0.0651866158259806,31767.981418321,12947.4001295849
"377","Pierce","Redmond","SOV",1,1,0,286.855536233775,286.855536233886
