"","variable_name","variable_nice_name","variable_value","demography_geography_name","demo_geography_nice_name","survey_year","count","prop","prop_se","est","est_se"
"172","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",1708,0.0823001067982047,0.00606879570081221,425128.659641593,32035.6165061016
"173","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",26,0.00998730325268761,0.00328720323480724,32537.3769492963,10767.3083715333
"174","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",206,0.0249714539451928,0.00535152630881481,81353.8539312984,17689.1601872865
"175","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",1107,0.176320384953621,0.0116063227082779,574429.621683627,41170.0366109397
"176","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",729,0.198699268506509,0.0132179656379667,647337.20758964,48752.9963097816
"177","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",2084,0.437604339747727,0.0158725043936274,1425659.86000156,71343.9243787064
"178","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",388,0.0565913100242542,0.0064172822070053,184367.365216245,21311.3420758455
"179","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",1311,0.0958259395700078,0.00723184633317478,312188.850025235,23770.6752394898
"180","mode_characterization","Trip Mode","Airplane","gender_grp","Person Gender","2017",42,0.0012760822968086,0.0007030053916609,11147.3637875673,6141.60500223138
"181","mode_characterization","Trip Mode","Bike/Micromobility","gender_grp","Person Gender","2017",287,0.00685832220099719,0.00167524517360154,59911.6630158313,14644.9089464626
"182","mode_characterization","Trip Mode","Drive HOV2","gender_grp","Person Gender","2017",3182,0.235862869121491,0.0116947031143386,2060407.24226974,117887.630098935
