,hhno,hhsize,hhvehs,hhwkrs,hhftw,hhptw,hhret,hhoad,hhuni,hhhsc,hh515,hhcu5,hhincome,hownrent,hrestype,hhparcel,hhtaz,hhexpfac
270,17104300,2,3,0,0,0,2,0,0,0,0,0,175000,1,3,-1,-1,-1
271,17104358,2,2,2,2,0,0,0,0,0,0,0,150000,1,3,-1,-1,-1
272,17104366,4,2,2,2,0,0,0,0,0,2,0,175000,1,1,-1,-1,-1
273,17104372,1,0,1,1,0,0,0,0,0,0,0,17500,2,3,-1,-1,-1
274,17104383,2,0,0,0,0,0,2,0,0,0,0,17500,2,3,-1,-1,-1
275,17104395,3,2,1,0,0,0,2,0,1,0,0,150000,1,3,-1,-1,-1
276,17104399,2,1,0,0,0,2,0,0,0,0,0,42500,1,3,-1,-1,-1
277,17104412,2,2,2,2,0,0,0,0,0,0,0,225000,3,1,-1,-1,-1
278,17104424,1,1,0,0,0,0,1,0,0,0,0,42500,1,3,-1,-1,-1
279,17104433,1,2,1,1,0,0,0,0,0,0,0,87500,1,1,-1,-1,-1
280,17104434,2,1,1,1,0,0,1,0,0,0,0,30000,1,4,-1,-1,-1
281,17104440,2,0,2,1,1,0,0,0,0,0,0,125000,1,3,-1,-1,-1
282,17104449,3,2,2,1,1,0,0,1,0,0,1,62500,2,3,-1,-1,-1
283,17104459,2,2,2,2,0,0,0,0,0,0,0,300000,1,2,-1,-1,-1
284,17104468,1,1,1,1,0,0,0,0,0,0,0,42500,3,1,-1,-1,-1
285,17104494,1,1,0,0,0,1,0,0,0,0,0,30000,2,3,-1,-1,-1
286,17104500,2,2,2,2,0,0,0,0,0,0,0,125000,2,1,-1,-1,-1
287,17104552,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
288,17104562,1,0,1,0,1,0,0,0,0,0,0,30000,2,3,-1,-1,-1
289,17104563,1,0,1,0,1,0,0,0,0,0,0,30000,2,3,-1,-1,-1
290,17104567,2,0,0,0,0,0,2,0,0,0,0,125000,1,3,-1,-1,-1
291,17104571,2,1,2,2,0,0,0,1,0,0,0,125000,2,3,-1,-1,-1
292,17104575,2,1,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
293,17104576,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
294,17104578,1,1,0,0,0,1,0,0,0,0,0,17500,1,4,-1,-1,-1
295,17104598,1,1,1,1,0,0,0,0,0,0,0,125000,1,3,-1,-1,-1
296,17104601,1,0,0,0,0,0,1,0,0,0,0,17500,2,3,-1,-1,-1
297,17104602,1,1,1,1,0,0,0,0,0,0,0,5000,2,3,-1,-1,-1
298,17104614,1,1,1,1,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
299,17104617,4,2,0,0,0,1,1,0,0,2,0,87500,1,1,-1,-1,-1
300,17104639,2,0,1,1,0,0,1,1,0,0,0,-1,2,1,-1,-1,-1
301,17104647,4,2,1,1,0,0,1,0,0,1,1,150000,1,1,-1,-1,-1
302,17104657,2,2,2,2,0,0,0,1,0,0,0,125000,1,1,-1,-1,-1
303,17104658,2,2,2,1,1,0,0,0,0,0,0,225000,2,3,-1,-1,-1
304,17104660,2,1,2,2,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1
305,17104674,1,1,1,0,1,0,0,0,0,0,0,87500,1,1,-1,-1,-1
306,17104679,1,1,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
